Elementos da estrutura,Distância
máxima
entre eixos
Metros,Secção mínima
dos elementos
altura por largura
Centímetros
Madres ............................................
Varas para telha tipo Marselha............
Varas para telha tipo Canudo..............
Ripas para telha tipo Marselha.............,2,00
0,50
0,40
Comprimento da
telha,16 * 8
10 * 5
14 * 7
3 * 2,5
