Quarto casal …………………
Quarto duplo …………………
Quarto duplo …………………
Quarto duplo …………………
Quarto simples ……………
Quarto simples ……………
Sala ………………………………
Cozinha ………………………
Suplemento de área
obrigatório……………………,Número de compartimentos por fogo,,,,,,,
,2
T0,3
T1,4
T2,5
T3,6
T4,7
T5,8
T6,Mais de 8
Tx>6
,Áreas em metros quadrados,,,,,,,
,___
___
___
___
___
___
10
6
6,10,5
___
___
___
___
___
10
6
4,10,5
9
___
___
___
___
12
6
6,10,5
9
9
___
___
___
12
6
8,10,5
9
9
___
6,5
___
12
6
8,10,5
9
9
9
6,5
___
16
6
8,10,5
9
9
9
6,5
6,5
16
6
10,10,5
restantes quartos 9m2
6,5
6,5
16
6
(x + 4)m2
(x= n.º de quartos)
